name,sex,year,count,baseline,ratio,score
Aveline,F,2016,179,61,2.93,525.3
Ainara,F,2022,189,68,2.78,525.3
Castiel,M,2013,210,84,2.5,525.0
Dawsyn,F,2017,162,50,3.24,524.9
Clair,M,1913,191,70,2.73,521.2
Brittany,F,1972,199,76,2.62,521.1
Jair,M,1996,153,45,3.4,520.2
Sanai,F,2004,188,68,2.76,519.8
Chantel,F,1968,178,61,2.92,519.4
Michele,F,1941,172,57,3.02,519.0
Brittny,F,1985,185,66,2.8,518.6
Abbey,F,1978,176,60,2.93,516.3
Jaycie,F,1997,162,51,3.18,514.6
Clark,M,1912,187,68,2.75,514.2
Alyse,F,1985,195,74,2.64,513.9
Clark,M,1913,191,71,2.69,513.8
Kelis,F,2004,191,71,2.69,513.8
Coty,M,1985,177,61,2.9,513.6
Stuart,M,1913,157,48,3.27,513.5
Idalia,F,2023,160,50,3.2,512.0
Aleeah,F,2012,181,64,2.83,511.9
Skyler,M,1982,201,79,2.54,511.4
Sabra,F,1961,155,47,3.3,511.2
Koah,M,2023,197,76,2.59,510.6
Cassondra,F,1982,186,68,2.74,508.8
Dominque,M,1989,179,63,2.84,508.6
Rico,M,1971,190,71,2.68,508.5
Saniyah,F,2003,161,51,3.16,508.3
Shante,F,1977,199,78,2.55,507.7
Austyn,M,1994,167,55,3.04,507.1
Shanon,F,1969,200,79,2.53,506.3
Falon,F,1982,165,54,3.06,504.2
Madelyn,F,1987,181,65,2.78,504.0
Macey,F,1991,181,65,2.78,504.0
Talisa,F,1989,168,56,3.0,504.0
Jacquez,M,1998,168,56,3.0,504.0
Julisa,F,1998,193,74,2.61,503.4
Seymour,M,1913,157,49,3.2,503.0
Chelsie,F,1982,160,51,3.14,502.0
Loyal,M,2020,190,72,2.64,501.4
Leesa,F,1957,186,69,2.7,501.4
Burton,M,1912,163,53,3.08,501.3
Kollyns,F,2021,163,53,3.08,501.3
Honesty,F,2001,155,48,3.23,500.5
Kimberley,F,1953,191,73,2.62,499.7
Taven,M,2007,158,50,3.16,499.3
Stone,M,1995,164,54,3.04,498.1
Beau,M,1970,167,56,2.98,498.0
Carlotta,F,1947,188,71,2.65,497.8
Wilmer,M,1913,197,78,2.53,497.6
Christophe,M,1950,156,49,3.18,496.7
Sandy,F,1938,181,66,2.74,496.4
Shaunna,F,1978,171,59,2.9,495.6
Lizet,F,1999,165,55,3.0,495.0
Shanequa,F,1990,175,62,2.82,494.0
Harper,M,2006,195,77,2.53,493.8
Tamekia,F,1975,157,50,3.14,493.0
Mario,M,1913,166,56,2.96,492.1
Mario,M,1912,152,47,3.23,491.6
Kaiden,M,2000,192,75,2.56,491.5
Regan,F,1974,188,72,2.61,490.9
Delilah,F,1970,170,59,2.88,489.8
Blair,F,1980,170,59,2.88,489.8
Avah,F,2006,170,59,2.88,489.8
Lorri,F,1954,150,46,3.26,489.1
Kalel,M,2006,161,53,3.04,489.1
Maite,F,2007,164,55,2.98,489.0
Kamryn,F,1997,194,77,2.52,488.8
Shamika,F,1976,174,62,2.81,488.3
Lylah,F,2007,153,48,3.19,487.7
Aysha,F,2024,153,48,3.19,487.7
Evren,M,2023,169,59,2.86,484.1
Laramie,F,2022,154,49,3.14,484.0
Saanvi,F,2007,180,67,2.69,483.6
Kacie,F,1980,189,74,2.55,482.7
Somer,F,1978,152,48,3.17,481.3
Eden,F,1986,164,56,2.93,480.3
Daemon,M,2023,158,52,3.04,480.1
Shad,M,1970,175,64,2.73,478.5
Rue,F,2022,183,70,2.61,478.4
Tamera,F,1994,179,67,2.67,478.2
Orval,M,1913,165,57,2.89,477.6
Kolson,M,2020,189,75,2.52,476.3
Keidy,F,2022,151,48,3.15,475.0
Tyrel,M,1981,181,69,2.62,474.8
Lakeisha,F,1972,157,52,3.02,474.0
Corliss,F,1946,182,70,2.6,473.2
Joel,M,1913,167,59,2.83,472.7
Jaedyn,F,2002,187,74,2.53,472.6
Trayvon,M,2012,179,68,2.63,471.2
Adia,F,1999,155,51,3.04,471.1
Morton,M,1913,185,73,2.53,468.8
Debora,F,1949,185,73,2.53,468.8
Shianne,F,1994,185,73,2.53,468.8
Jerilynn,F,1942,162,56,2.89,468.6
Desirae,F,1979,162,56,2.89,468.6
Lakendra,F,1987,177,67,2.64,467.6
Wrenlee,F,2021,154,51,3.02,465.0
Jahkai,M,2025,167,60,2.78,464.8
Ally,F,1997,184,73,2.52,463.8
Marcus,M,1913,172,64,2.69,462.2
Clement,M,1912,172,64,2.69,462.2
Shirl,F,1963,152,50,3.04,462.1
Rickie,M,1946,165,59,2.8,461.4
Maynard,M,1913,169,62,2.73,460.7
Delainey,F,2024,169,62,2.73,460.7
Lola,F,2001,182,72,2.53,460.1
Kaela,F,1987,182,72,2.53,460.1
Dinah,F,1943,178,69,2.58,459.2
Gwyneth,F,1999,178,69,2.58,459.2
Angeles,F,1998,156,53,2.94,459.2
Laquan,M,1990,153,51,3.0,459.0
Alva,M,1913,167,61,2.74,457.2
Grecia,F,1988,167,61,2.74,457.2
Maynard,M,1912,151,50,3.02,456.0
Shanon,F,1968,155,53,2.92,453.3
Kalel,M,2007,178,70,2.54,452.6
Thatcher,M,2006,162,58,2.79,452.5
Harlow,M,2022,166,61,2.72,451.7
Lyric,M,2006,153,52,2.94,450.2
Cyndi,F,1958,180,72,2.5,450.0
Decker,M,2014,180,72,2.5,450.0
Derrick,M,1950,171,65,2.63,449.9
Dane,M,1947,176,69,2.55,448.9
Shawnee,F,1990,168,63,2.67,448.0
Abbie,F,1978,177,70,2.53,447.6
Storm,M,1991,151,51,2.96,447.1
Lakeshia,F,1974,151,51,2.96,447.1
Denisse,F,1987,169,64,2.64,446.3
Kaitlynn,F,1988,165,61,2.7,446.3
Jazmine,F,1985,174,68,2.56,445.2
Zabdiel,M,2023,174,68,2.56,445.2
Kyndra,F,2007,163,60,2.72,442.8
Meyer,M,1913,167,63,2.65,442.7
Calia,F,2025,167,63,2.65,442.7
