category,year,country,title,character,sex,peak_year,peak_freq_per_100k,t5_year,t5_freq_per_100k,persistence_p5_pct,status,did_net_effect_pct
Musica & Pop,2008,US,I Kissed a Girl,Katy,F,2009,10.56,2014,10.3,97.5,Adozione Strutturale (Persistente),-4.87
Musica & Pop,2009,US,Fearless,Taylor,F,2010,331.91,2015,210.41,63.4,Decadimento Moderato,-14.43
Musica & Pop,2010,US,Tik Tok,Kesha,F,2011,0.68,2016,0.51,74.5,Adozione Strutturale (Persistente),22.9
Musica & Pop,2011,US,Rolling in the Deep,Adele,F,2012,32.03,2017,20.1,62.8,Decadimento Moderato,138.05
Musica & Pop,2011,US,Super Bass,Nicki,F,2012,1.25,2017,0.29,23.2,Moda Passeggera (Fad Temporaneo),98.27
Musica & Pop,2012,US,Call Me Maybe,Carly,F,2013,58.07,2018,38.51,66.3,Decadimento Moderato,-25.5
Musica & Pop,2014,US,All About That Bass,Meghan,F,2015,13.56,2020,18.81,138.7,Adozione Strutturale (Persistente),-23.99
Musica & Pop,2014,US,Problem,Ariana,F,2015,278.58,2020,196.41,70.5,Adozione Strutturale (Persistente),31.16
Musica & Pop,2015,US,Hello,Adele,F,2016,25.0,2021,20.72,82.9,Adozione Strutturale (Persistente),-6.9
Musica & Pop,2016,US,Work,Rihanna,F,2018,9.76,2023,10.28,105.4,Adozione Strutturale (Persistente),-18.17
Musica & Pop,2018,US,New Rules,Dua,F,2020,5.75,2025,14.37,249.8,Adozione Strutturale (Persistente),138.26
Musica & Pop,2019,US,Bad Guy,Billie,F,2021,17.06,2025,25.45,149.1,Adozione Strutturale (Persistente),135.86
Musica & Pop,2021,US,Drivers License,Olivia,F,2022,1016.38,2025,842.67,82.9,Adozione Strutturale (Persistente),-1.07
Musica & Pop,2022,US,As It Was,Harry,M,2023,18.88,2025,19.26,102.0,Adozione Strutturale (Persistente),-10.83
Musica & Pop,2001,IT,Luce (Tramonti a nord est),Elisa,F,2002,1462.55,2007,1413.56,96.7,Adozione Strutturale (Persistente),7.76
Musica & Pop,2003,IT,Gocce di memoria,Giorgia,F,2005,1983.11,2010,2146.74,108.3,Adozione Strutturale (Persistente),-7.69
Musica & Pop,2006,IT,Sei nell'anima,Gianna,F,2007,8.53,2012,7.49,87.9,Adozione Strutturale (Persistente),1.83
Musica & Pop,2008,IT,Non ti scordar mai di me,Giusy,F,2010,95.57,2015,70.34,73.6,Adozione Strutturale (Persistente),-19.64
