year,name,gender,count,percent
1999,"ALESSIA",m,54,0.020451756578648
1999,"FAUSTO",m,54,0.020451756578648
1999,"GIANPIERO",m,54,0.020451756578648
1999,"JURI",m,54,0.020451756578648
1999,"PIERGIORGIO",m,54,0.020451756578648
1999,"RAOUL",m,54,0.020451756578648
1999,"VINCENZO PIO",m,54,0.020451756578648
1999,"AURELIO",m,53,0.02007302034571
1999,"CARLO ALBERTO",m,53,0.02007302034571
1999,"GIAMPIERO",m,53,0.02007302034571
1999,"HANNES",m,53,0.02007302034571
1999,"ORLANDO",m,53,0.02007302034571
1999,"PIO",m,53,0.02007302034571
1999,"ANAS",m,52,0.019694284112772
1999,"COSTANTINO",m,52,0.019694284112772
1999,"MAXIMILIAN",m,52,0.019694284112772
1999,"PETER",m,52,0.019694284112772
1999,"ALFIO",m,51,0.019315547879835
1999,"IGOR",m,51,0.019315547879835
1999,"JULIAN",m,51,0.019315547879835
1999,"LEO",m,51,0.019315547879835
1999,"FRANCESCO GIUSEPPE",m,50,0.018936811646897
1999,"FULVIO",m,50,0.018936811646897
1999,"RODOLFO",m,50,0.018936811646897
1999,"BARTOLOMEO",m,49,0.018558075413959
1999,"BERNARDO",m,49,0.018558075413959
1999,"ALI",m,48,0.018179339181021
1999,"PATRIK",m,48,0.018179339181021
1999,"SAMIR",m,48,0.018179339181021
1999,"MICHEL",m,47,0.017800602948083
1999,"ACHRAF",m,46,0.017421866715145
1999,"AUGUSTO",m,46,0.017421866715145
1999,"FLORIAN",m,46,0.017421866715145
1999,"FRANCESCO ANTONIO",m,46,0.017421866715145
1999,"SALVATORE PIO",m,46,0.017421866715145
1999,"MARTINA",m,45,0.017043130482207
1999,"RAUL",m,45,0.017043130482207
1999,"YASSINE",m,45,0.017043130482207
1999,"CAMILLO",m,44,0.016664394249269
1999,"DUCCIO",m,44,0.016664394249269
1999,"FELIX",m,44,0.016664394249269
1999,"YARI",m,44,0.016664394249269
1999,"YASSIN",m,44,0.016664394249269
1999,"ADAM",m,43,0.016285658016331
1999,"DENNY",m,43,0.016285658016331
1999,"RUGGERO",m,43,0.016285658016331
1999,"CHIARA",m,42,0.015906921783393
1999,"JOSHUA",m,42,0.015906921783393
1999,"LORENZO MARIA",m,42,0.015906921783393
1999,"MORGAN",m,42,0.015906921783393
1999,"AMIR",m,41,0.015528185550455
1999,"FERNANDO",m,41,0.015528185550455
1999,"GIAMPAOLO",m,41,0.015528185550455
1999,"GINO",m,41,0.015528185550455
1999,"GIOVANNI PIO",m,41,0.015528185550455
1999,"GIULIA",m,41,0.015528185550455
1999,"LUIGI PIO",m,41,0.015528185550455
1999,"WALID",m,41,0.015528185550455
1999,"AMINE",m,40,0.015149449317517
1999,"FILIPPO MARIA",m,40,0.015149449317517
1999,"PIER PAOLO",m,40,0.015149449317517
1999,"RAIMONDO",m,40,0.015149449317517
1999,"TEODORO",m,40,0.015149449317517
1999,"GIAN LUCA",m,39,0.014770713084579
1999,"ILARIO",m,39,0.014770713084579
1999,"MAX",m,39,0.014770713084579
1999,"NIKO",m,39,0.014770713084579
1999,"PHILIPP",m,39,0.014770713084579
1999,"CRISTOPHER",m,38,0.014391976851641
1999,"DANTE",m,38,0.014391976851641
1999,"GIUSEPPE FRANCESCO",m,38,0.014391976851641
1999,"ALESSANDRO PIO",m,37,0.014013240618704
1999,"ARCANGELO",m,37,0.014013240618704
1999,"DIMITRI",m,37,0.014013240618704
1999,"MARKO",m,37,0.014013240618704
1999,"RICHARD",m,37,0.014013240618704
1999,"AMOS",m,36,0.013634504385766
1999,"CATALDO",m,36,0.013634504385766
1999,"EGIDIO",m,36,0.013634504385766
1999,"GIANDOMENICO",m,36,0.013634504385766
1999,"NABIL",m,36,0.013634504385766
1999,"BENIAMINO",m,35,0.013255768152828
1999,"DEMETRIO",m,35,0.013255768152828
1999,"GIUSEPPE MARIA",m,35,0.013255768152828
1999,"ISACCO",m,35,0.013255768152828
1999,"JASON",m,35,0.013255768152828
1999,"PARIDE",m,35,0.013255768152828
1999,"SABATO",m,35,0.013255768152828
1999,"SAMI",m,35,0.013255768152828
1999,"ANTIMO",m,34,0.01287703191989
1999,"CLEMENTE",m,34,0.01287703191989
1999,"ENNIO",m,34,0.01287703191989
1999,"FEDERICA",m,34,0.01287703191989
1999,"SABATINO",m,34,0.01287703191989
1999,"ALESSANDRO MARIA",m,33,0.012498295686952
1999,"ANTONIO FRANCESCO",m,33,0.012498295686952
1999,"CATELLO",m,33,0.012498295686952
1999,"GIUSEPPE ANTONIO",m,33,0.012498295686952
1999,"JORDAN",m,33,0.012498295686952
1999,"MANFREDI",m,33,0.012498295686952
1999,"MARCO ANTONIO",m,33,0.012498295686952
1999,"MARKUS",m,33,0.012498295686952
1999,"MATTEO PIO",m,33,0.012498295686952
1999,"NIKOLAS",m,33,0.012498295686952
1999,"OSSAMA",m,33,0.012498295686952
1999,"REDA",m,33,0.012498295686952
1999,"RICCARDO MARIA",m,33,0.012498295686952
1999,"SABINO",m,33,0.012498295686952
1999,"SILVANO",m,33,0.012498295686952
1999,"ALESSANDRA",m,32,0.012119559454014
1999,"ANDREA PIO",m,32,0.012119559454014
1999,"AYMAN",m,32,0.012119559454014
1999,"BENJAMIN",m,32,0.012119559454014
1999,"FORTUNATO",m,32,0.012119559454014
1999,"ANTONIO MARIA",m,31,0.011740823221076
1999,"FEDERICO MARIA",m,31,0.011740823221076
1999,"ITALO",m,31,0.011740823221076
1999,"MANOLO",m,31,0.011740823221076
1999,"DEVIS",m,30,0.011362086988138
1999,"JOEL",m,30,0.011362086988138
1999,"PABLO",m,30,0.011362086988138
1999,"ROMEO",m,30,0.011362086988138
1999,"YOUNES",m,30,0.011362086988138
1999,"ACHILLE",m,29,0.0109833507552
1999,"ALEANDRO",m,29,0.0109833507552
1999,"ANDRE",m,29,0.0109833507552
1999,"AXEL",m,29,0.0109833507552
